symbol,company,Business Content
ACB,Aurora Cannabis Inc ,カナダの医療用大麻メーカー
ACBA,Ace Global Business Acquisition Limite,ブランクチェックカンパニー。
ACCD,Accolade Inc,ヘルスケア・福利厚生サポートサービスを提供
ACCO,Acco Brands,ホチキス、スケジュール帳、シュレッダーなどを取り扱うオフィス用品メーカー。
ACDC,ProFrac Holding Corp A,主に圧力破砕などによるガス・油井開発を行う企業。
ACEL,Accel Entertainment Inc,GaaS（サービスとしてのゲーム）に従事しているゲーム会社。
ACET,Adicet Bio Inc,米国のバイオ医薬品会社
ACGL,Arch Capital Group,バミューダの保険・金融サービス会社
ACGN,Aceragen Inc,臨床段階の米国バイオテクノロジー企業
ACHC,Acadia Healthcare,精神病や薬物乱用患者などに行動障害ケアを行うヘルスケアサービス会社
ACHR,Archer Aviation Inc,eVTOL（電動垂直離着陸機）の開発
ACHV,Achieve Life Sciences,ニコチン依存症の患者のためのシスチンを使用した治療薬の開発および商品化に従事している医薬品メーカー。
ACI,Albertsons Cos Inc A,スーパーマーケットチェーン店
ACIC,American Coastal Insurance Corp,米国の損害保険持株会社
ACIU,AC Immune SA,スイスのバイオ医薬品企業。
ACIW,ACI Worldwide,国際電子送金ソフトウエアの開発・販売・支援を手掛ける企業
ACLS,Axcelis Technologies,半導体部品メーカー。
ACLX,Arcellx Inc,癌等の細胞治療法を開発する会社。
ACM,AECOM,建築設計等に関するコンサルティングサービスを提供
ACMR,Acm Research Inc A,主に半導体メーカー向けの粒子や汚染物質を除去するクリーニング装置を開発する米国の産業機械メーカー
ACN,Accenture A,アイルランドに本社を置く経営コンサルティング・情報処理大手
ACNB,ACNB,金融持株会社
ACNT,Ascent Industries Co,米国の金属・化学品メーカー
ACRS,Aclaris Therapeutics,臨床段階の製薬会社。
ACST,Acasti Pharma Inc,稀少疾患等の治療薬を開発する製薬会社。
ACTG,Acacia Research,子会社を通して特許技術の開発、買収、ライセンス化を手掛けるテクノロジー関連持株会社
ACU,Acme United Corporation,学校・家庭等に向けた事務製品の卸しを行う米国の企業
ACVA,ACV Auctions Inc A,米国のデジタルサービス企業
ACXP,Acurx Pharmaceuticals Inc,細菌によって引き起こされる感染症に対する抗生物質の開発に従事する米国のバイオ医薬品会社。
ADBE,Adobe,世界最大のグラフィックソフトメーカー
ADCT,ADC Therapeutics SA ,抗体薬物複合体（ADC)の研究・開発に従事するバイオテクノロジー企業。
ADD,Color Star Technology Co Ltd,米国の教育サービス関連企業
ADEA,Adeia Inc,米国のIT関連持株会社
ADI,Analog Devices,アナログおよびデジタル信号処理に使用するICの設計、製造、販売
ADIL,Adial Pharmaceuticals  Inc,バイオ医薬品企業。臨床段階で、アルコール依存症などアルコールの使用障害に対する治療薬の開発に従事する。
ADM,Archer Daniels Midland,2大穀物メジャーの1社。農産物加工、商社の世界的大手
ADMA,ADMA Biologics,米国で事業を展開しているバイオ医薬品メーカー。
ADN,Advent Technologies Holdings  Inc,水素などの再生可能燃料を電気に変換する燃料電池を製造している企業
ADNT,Adient Public Limited Company,自動車の座席関連製品の製造、流通を行う。
ADP,Automatic Data Processing,業務委託ソリューションを世界的に提供
ADPT,Adaptive Biotechnologies Corp,適応免疫システムの生物学を使用して疾患の診断と治療を開発するバイオテクノロジー会社。
ADRT,Ault Disruptive Technologies Corporati,ブランクチェックカンパニー。
ADSE,Ads-Tec Energy Public Limited Company,EVの充電プラットフォームを提供する会社。
ADSK,Autodesk,PC ソフトウエアやマルチメディアツールを提供
ADT,ADT,家庭用および業務用のセキュリティカメラ、リモートアクセス、ワイヤレスホームセキュリティシステム等を提供している会社。
ADTH,AdTheorent Holding Company Inc,AIを利用する広告会社。
ADTN,ADTRAN Holdings Inc,高速デジタル送信機器メーカー。
ADTX,Aditxt Inc,免疫システム関連のバイオテクノロジー企業。
ADUS,Addus HomeCare,家庭内で提供されている個人ケアサービスの提供業者。
ADV,Advantage Solutions Inc,消費財メーカー、小売業者向けにビジネスソリューションを提供。
ADVM,Adverum Biotechnologies ,希少疾患の患者向けの新薬発見・開発を手掛けるバイオテクノロジー会社。遺伝子治療法を提供している会社。
AE,Adams Resources &amp; Energy,油田とガス田を探鉱・開発し、タンクローリーで液体化学品を輸送する、原油と天然ガスの購入・供給・販売会社。
AEE,Ameren,公益事業持株会社
AEHL,Antelope Enterprise Holdings A,住宅や商業ビル等に使用されるセラミックタイルのメーカー
AEHR,Aehr Test Systems,DRAM及びその他メモリー装置の検定コストの削減等のために設計されたシステムの製造・販売に従事する企業。
AEI,Alset Inc,子会社を通じて不動産開発、デジタルトランスフォーメーション技術及びバイオヘルス事業に従事。
AEIS,Advanced Energy Industries,精密機器メーカー。
AEM,Agnico Eagle Mines,カナダの金鉱会社
AEMD,Aethlon Medical,がんや感染症疾患治療用ろ過装置の開発、製造に従事する医療機器メーカー。
AENT,Alliance Entertainment Holding Corp A,ビデオゲーム、レコード、家電製品等のコレクターズアイテムを販売。
AEO,American Eagle Outfitters,カジュアルアパレルの製造・小売に従事
AEON,AEON Biopharma Inc A,治療用ボツリヌス毒素の開発に注力するバイオ医薬品企業
AEP,American Electric Power,公益事業持株会社
AER,AerCap Holdings NV,国際的な航空機リースなどのサービスを提供している会社
AERT,Aeries Technology Inc A,ソフトウエアソリューションや製品管理サービスを提供する会社。
AES,AES,電力会社
AESI,Atlas Energy Solutions Inc,ガス、油田サービス関連ビジネスをする会社。
AEVA,Aeva Technologies  Inc,自動車のセンシングおよび知覚システムに取り組んでいる企業
AEYE,AudioEye Inc,インターネット・コンテンツで使用する音声で操作する技術を開発するソフトウエア会社
AEZS,AEterna Zentaris Inc,腫瘍や内分泌疾患の治療法を開発しているバイオ医薬品メーカー
AFBI,Affinity Bancshares Inc,米国の金融持株会社
AFG,American Financial Group,課税繰延年金保険、生命保険、補完的医療保険などの商品を販売する障害保険会社。
AFL,Aflac,医療保険販売
AFMD,Affimed NV,バイオ医薬品会社
AFRI,Forafric Global PLC,北アフリカを対象にアグリビジネスを展開。
AFRM,Affirm Holdings Inc ,次世代のデジタルおよびモバイルファーストコマースのプラットフォームを構築・提供している会社
AFYA,Afya Limited,ブラジルの医学教育グループ
AG,First Majestic Silver Corp,メキシコにおいて銀プロパティの取得・探鉱・開発、及び銀の生産に従事している会社
AGAE,Allied Gaming &amp; Entertainment,グローバルなeスポーツエンターテイメント会社。
AGBA,AGBA Group Holding Limited,生命保険、年金、不動産仲介など幅広い金融商品を扱うプラットフォームを提供
AGCO,AGCO,世界的な農業機械メーカー
AGEN,Agenus,脳腫瘍、腎臓がんなどの治療用ワクチンの研究に従事するワクチン開発会社。
AGFY,Agrify Corporation,栽培ソリューションプロバイダ
AGI,Alamos Gold Inc A,鉱山の探査・開発などに従事している会社
AGIO,Agios Pharmaceuticals,バイオ医薬品会社
AGL,agilon health Inc,医療情報システムプラットフォームを提供している会社
AGM,Federal Agricultural Mortgage C,モーゲージ流通市場を提供する米国の会社。
AGMH,AGM Group Holdings Inc,中国のIT・ソフトウェア持株会社
AGO,Assured Guaranty Ltd,子会社経営を通して金融保証商品を提供しているバミューダ籍の持株会社
AGR,Avangrid,米国の総合エネルギー・公益事業会社。クリーンエネルギーを提供する。また、発電・天然ガス貯蔵施設の保有・運営も手掛ける。
AGRI,Agriforce Growing Systems Ltd,カナダを拠点とする農業に焦点を当てたテクノロジー会社。
AGRO,Adecoagro SA,南米の農業会社。アルゼンチン、ブラジル、ウルグアイで活動を展開
AGS,PlayAGS Inc,スロットマシーンゲームや携帯端末向けソーシャルゲームのコンテンツ開発などを総合的に取り扱うゲーム開発会社。
AGTI,Agiliti  Inc,米国の医療業界に医療技術管理およびサービスソリューションを提供
AGX,Argan,エネルギー施設の設計・建設会社。
AGYS,Agilysys Inc,米国の企業向けソフトウェアおよびサービス提供会社
AHCO,AdaptHealth Corp,米国の在宅医療機器、在宅医療用品および関連サービスを提供。
AI,C3Ai Inc A,エンタープライズAI企業
AIB,AIB Acquisition Corporation A,ブランクチェックカンパニー。
AIG,American International Group,生損保・金融サービス大手
AILE,iLearningEngines Holdings Inc A,企業および教育機関向けのAIを活用した自動学習プラットフォームを提供
AIN,Albany International A,繊維・材料加工会社。
AIP,Arteris Inc,IPコアの開発・設計および販売を主な事業とする。
AIR,AAR,民間航空会社や政府防衛・軍事機関を対象に、旅客機の機器や着陸装置などの保守、修理、オーバーホール、交換などのサービスを提供する航空機関連サービス企業。
AIRG,Airgain,住居や事業所などにおいてワイヤレス環境を提供するアンテナの開発・製造・販売に従事するワイヤレス・テクノロジー企業。
AIRI,Air Industries Group,航空宇宙関連ビジネスをする会社。
AIRJ,Montana Technologies Corporation A,大気エネルギーと水生成システムを開発
AIRS,AirSculpt Technologies Inc,パーソナルケアサービスを提供。
AIRT,Air T,宅急便業界に対して夜間航空貨物サービス、空港における地上業務支援設備の提供を手掛ける航空貨物サービス会社。
AISP,Airship AI Holdings Inc A,データ管理プラットフォームを提供する会社。
AIT,Applied Industrial Technologies,工業用ゴム製品や直動装置、安全装置などを取り扱う工業製品メーカー。
AIZ,Assurant,保険会社
AJG,Arthur J. Gallagher,保険仲介やリスク管理サービスを提供
AKA,aka Brands Holding Corp,ミレニアル世代とZ世代向けのファッションブランドを運営。
AKAM,Akamai Technologies,大手コンテンツ配信企業
AKAN,Akanda Corp,英国の医療用大麻会社。
AKBA,Akebia Therapeutics,腎疾患患者向けの低酸素誘導性因子（HIF）生物学に基づく新規治療薬を開発、販売する医薬品メーカー。
AKLI,Akili Inc A,デジタル治療用アプリを通じて認知療法を開発するデジタル医療のリーディングカンパニー。
AKRO,Akero Therapeutics Inc,NASH（非アルコール性脂肪肝炎）および他の代謝性疾患のための治療法を開発しているバイオテクノロジー会社
AKTS,Akoustis Technologies Inc,商用製品を製造提供する会社。
AKYA,Akoya Biosciences Inc ,空間生物学ソリューションを提供するライフサイエンステクノロジー会社。
AL,Air Lease,航空機のリース事業を展開
ALB,Albemarle,特殊化学品メーカー
ALBT,Avalon GloboCare Corp,米国のバイオメディカル製品の開発会社
ALC,Alcon Inc,アイケア機器会社
ALCO,Alico,かんきつ類栽培、牧畜、サトウキビと芝の栽培、木材などさまざまな事業を手掛けるアグリビジネス企業。
ALDX,Aldeyra Therapeutics,ドライアイ疾患、その他の目の炎症の治療に関する研究も手掛ける免疫介在性疾患治療薬の研究・開発会社。
ALE,ALLETE,発電・送電・配電のほか、個人・法人向けに電力販売も手掛けるエネルギー会社。
ALEC,Alector Inc,米国のバイオ医薬品会社
ALG,Alamo Group,工業、農業のエンドユーザーにトラクター取り付けタイプの大型芝刈り機 や野菜栽培用機械・交換部品等の製品を提供している｡
ALGM,Allegro Microsystems Inc ,半導体関連企業
ALGN,Align Technology,歯列矯正システムの設計、製造、販売
ALGS,Aligos Therapeutics  Inc,バイオテクノロジーを利用した治療法を開発する企業
ALGT,Allegiant Travel,小都市から世界的な名所への旅行サービスを提供
ALHC,Alignment Healthcare  Inc,高齢者にヘルスケアプラットフォームを提供する企業
ALIM,Alimera Sciences,処方目薬の研究、開発、商業化に従事するバイオ医薬品会社。
ALIT,Alight Inc A,ビジネスソリューションのクラウドベースのプロバイダー
ALK,Alaska Air Group,子会社を通して、複数の都市に旅客機サービスを提供する航空持株会社
ALKS,Alkermes,薬剤の送達に関する研究開発を行うアイルランドの会社
ALKT,Alkami Technology  Inc,米国のソフトウェア企業。金融機関向けのクラウドベースのバンキングソリューションを開発する。
ALL,Allstate,米国およびカナダで子会社を通じて、財産保険、賠償責任保険、その他の保険を提供
ALLE,Allegion Public Limited Company,アイルランドの機械・電子セキュリティー製品会社
ALLG,Allego Holding BV,都市や企業に電気自動車の充電ソリューションを提供。
ALLK,Allakos Inc,臨床段階で、アレルギー性疾患、炎症性疾患および増殖性疾患の治療用抗体の開発に従事するバイオ医薬品企業。
ALLO,Allogene Therapeutics Inc,米国のバイオテクノロジー企業。臨床試験段階のがん免疫細胞療法「AlloCAR T」の開発に従事している。
ALLR,Allarity Therapeutics Inc,癌の治療薬を開発する製薬会社。
ALLT,Allot Ltd ,企業向けのインターネット・プロトコル(IP)サービス最適化、収益化とパーソナライズソリューションを提供する企業。
ALLY,Ally Financial,自動車、保険、住宅ローン、企業金融サービスを提供する会社。
ALNT,Allient Inc,世界各地の顧客に精密および特殊動作制御部品およびシステムを提供する動作制御システムメーカー。
ALNY,Alnylam Pharmaceuticals,リボ核酸干渉法に基づく治療薬を開発する生物医薬品会社
ALOT,Astronova Inc,米国の特殊プリンタと分析システム等を行う製品識別サービス会社
ALPN,Alpine Immune Sciences,米国の臨床段階の製薬会社。
ALPP,"Alpine 4 Holdings, Inc.",ドライバー、スタビライザー、ファシリテーター（DSF）のビジネスモデルに適合するビジネスを買収するコングロマリット。
ALRM,Alarm.Com Holdings,ソフトウェア会社。
ALRN,Aileron Therapeutics,臨床段階で、治療用ペプチド薬品の開発・商品化に従事するバイオ医薬品企業。
ALRS,Alerus Financial Corp,米国の金融持株会社
ALSA,Alpha Star Acquisition Corporation,ブランクチェックカンパニー。
ALSN,Allison Transmission Holdings,自動車用の変速機メーカー
ALT,Altimmune,臨床段階の免疫治療バイオテクノロジー会社。
ALTG,Alta Equipment Group Inc,中古の産業用フォークリフトや運搬機器のレンタルサービスを行う米国の企業
ALTI,AlTi Global Inc A,米国の独立系投資運用会社
ALTM,Arcadium Lithium PLC,特殊製品等のリチウム製品を生産
ALTO,Alto Ingredients Inc,低炭素エタノールを製造･販売する化学品メーカー
ALTR,Altair Engineering A,シミュレーション技術とサービスを提供する会社。同社は、製品エンジニアリング、工業デザイン、技術アプリケーション等を提供している。
ALUR,Allurion Technologies Inc,肥満を撲滅するAllurionプログラムを提供
ALV,Autoliv Inc,自動車メーカー向け自動車安全装置の設計・製造に従事している企業｡
ALVO,Alvotech Holdings,バイオシミラー（バイオ後続品）製品の開発と製造
ALVR,Allovir Inc,T細胞を利用したVST療法により、ウィルス性疾患の治療および予防を目指す
ALXO,ALX Oncology Holdings Inc,米国のバイオテクノロジー企業
ALZN,Alzamend Neuro Inc,神経変性疾患および精神障害の治療用製品の開発に焦点を当てる前臨床段階のバイオ医薬品企業。
AM,Antero Midstream Corporation,ミッドストリームエネルギー資産を保有、運営、開発しているエネルギー会社。
AMAL,Amalgamated Bank,個人、中小企業、商業顧客に包括的な金融サービスを提供している。
AMAM,Ambrx Biopharma Inc ADR,臨床段階のバイオ製剤会社。
AMAT,Applied Materials,半導体製造装置の最大手
AMBA,Ambarella,ハイビジョン映象の圧縮・処理用半導体メーカー
AMBC,Ambac Financial Group,民間・公共機関向けに金融保証やその他金融関連サービスを展開。
AMBI,Ambipar Emergency Response A,環境管理に関するサービスを提供する会社。
AMBP,Ardagh Metal Packaging SA ,サスティナブルで無限にリサイクル可能なガラスおよび金属の包装容器の製造・販売に従事。
AMC,AMC Entertainment Holdings A,世界各地で映画館を運営し、演劇公開、映画上映、食品販売、オンラインチケット販売、その他関連サービスを提供する。
AMCR,Amcor plc,世界的なプラスチックパッケージ会社
AMCX,AMC Networks A,ケーブルチャンネルの制作・管理会社
AMD,Advanced Micro Devices,半導体（マイクロプロセッサー）大手
AME,AMETEK,電動モーター・電子機器メーカー
AMED,Amedisys ,在宅看護、在宅輸液療法（HIT）、外来手術センターなどのサービスを提供する代替サイト・ヘルスケア・サービス会社｡
AMEH,Apollo Medical Holdings Inc,米国のヘルスケア企業
AMG,Affiliated Managers Group,資産管理持株会社
AMGN,Amgen,大手バイオ医薬品会社
AMK,Assetmark Financial Holdings Inc,子会社を通じて、ファイナンシャルアドバイザーや金融ブローカー、投資家向けにオンライン資産管理ポータル・アプリの提供を行っている会社。
AMKR,Amkor Technology,半導体のパッケージングおよびテストサービスを提供
AMLX,Amylyx Pharmaceuticals Inc,神経疾患の治療法を開発する会社。
AMN,Amn Healthcare Services,看護師や提携医療従事者を全米の病院・医療施設に短期派遣するヘルスケア関連の人材派遣会社。
AMP,Ameriprise Financial,投資顧問会社。元アメリカンエキスプレスの投資顧問部門
AMPG,AmpliTech Group  Inc,マイクロ波コンポーネントベースの低ノイズアンプを設計、開発、製造している通信機器メーカー
AMPH,Amphastar Pharmaceuticals ,ジェネリックおよび専売注射剤・吸入剤を開発、製造する製薬会社。
AMPL,Amplitude Inc,ユーザーの様々な行動を分析するモバイルアナリティクスを提供。
AMPY,Amplify Energy Corp,米国で事業を展開するエネルギー企業。
AMR,Alpha Metallurgical Resources Inc,発電用の原料炭および一般炭を供給している石炭採掘サービス会社。
AMRC,Ameresco A,総合電力エネルギー会社。
AMRK,A-Mark Precious Metals Inc,金、銀、プラチナ、およびパラジウムを通貨、延べ棒、薄板、および粒子の形状で販売
AMRS,Amyris ,世界の特殊化学および輸送燃料市場に石油を原料とする製品に代わる製品を提供する再生可能製品メーカー。
AMRX,Amneal Pharmaceuticals Inc A,米国の製薬会社。ジェネリック医薬品の開発、製造、販売、流通を中心に行うほか、中枢神経系障害の治療のため自社ブランド医薬品の開発を手掛ける。
AMS,American Shared Hospital Services,放射線治療等の医療機器を製造する会社。
AMSC,American Superconductor,風力発電や送配電ソリューションを提供する米国の発電タービン・メーカー。
AMSF,AMERISAFE,石油・ガス、海運など危険を伴う業界の中小企業を中心に労災保険を提供する保険会社。
AMST,Amesite Inc,大学等の学習プログラム向上のためのクラウドプラットフォームを提供する企業
AMSWA,American Software A,ソフトウエア・プロバイダー。
AMTB,Amerant Bancorp Inc A,米国の銀行持株会社
AMTI,Applied Molecular Transport Inc,米国のバイオ医薬品企業
AMTX,Aemetis,燃料や化学製品の生産、従来の石油ベース製品に代わる技術の取得・開発・商業化を行うバイオテクノロジー会社。
AMWD,American Woodmark,住宅建築・改築市場向けに台所キャビネットと洗面化粧台を製造、販売する米国の台所・浴室キャビネット製造会社。
AMWL,American Well Corp,インターネットを介し患者の自宅や職場に遠隔医療を提供する企業
AMZN,Amazon.com,小売業、インターネット通販会社
AN,AutoNation,自動車販売チェーン
ANAB,AnaptysBio,主に米国で臨床段階のバイオテクノロジー企業として営業を展開しています。癌免疫療法および炎症のための抗体を製造および販売しています。
ANDE,The Andersons Inc,農業に従事する多角経営の会社
ANEB,Anebulo Pharmaceuticals Inc,臨床段階のバイオテクノロジー会社
ANET,Arista Networks,クラウド・ネットワーキング・ソリューションを提供する企業
ANF,Abercrombie &amp; Fitch A,専門小売店
ANGI,Angi Inc A,インターネットによる情報・コンテンツ提供会社。有料評価サイト｢Angies List｣を運営する。
ANGO,AngioDynamics,末梢血管疾患の治療や手術に使用される医療機器の開発、製造、販売を行う米国の医療機器メーカー。
ANIK,Anika Therapeutics,治療疼痛管理ソリューションの開発などをしている総合的な整形外科用医薬品メーカー。
ANIP,Ani Pharmaceuticals,ブランド薬およびジェネリック処方薬の開発・生産・販売を手掛ける総合医薬品メーカー。
ANIX,Anixa Biosciences Inc,癌の治療薬等を開発するバイオテクノロジー企業。
ANNX,Annexon Inc,脳および目の補体介在性疾患に対する新規治療薬を開発
ANSS,ANSYS,設計分析や最適化ソリューションのソフトウェアを提供
ANTM,Anthem,ヘルス・ベネフィット給付会社
ANTX,AN2 Therapeutics Inc,感染症治療薬を開発する製薬会社。
ANVS,Annovis Bio Inc,アルツハイマー病などの治療のための研究を行う米国の企業
ANY,Sphere 3D Corp,ソフトウェア開発事業に従事。
AOGO,Arogo Capital Acquisition Corp A,ブランクチェックカンパニー。
AON,AON,イギリスの保険サービス持株会社
AONC,American Oncology Network Inc A,地域ベースの腫瘍学診療に焦点を当てた企業
AORT,Artivion Inc,生育可能なヒト組織を心臓血管、血管、整形外科的移植などへの適用を目的に冷凍保存しているヒト組織バンク。
AOS,A.O.Smith,米国の住宅・商業用温水機器と水質処理製品のメーカー
AOSL,Alpha and Omega Semiconductor Limited,バミューダ籍の電力半導体開発業者
AOUT,American Outdoor Brands Inc,米国のアウトドア用品メーカー
AP,Ampco Pittsburgh,鉄鋼・アルミ金属製造業向けに硬化鋼ロールの鍛造と生成を行うポンプ製造会社。
APA,APA Corporation,独立系エネルギー会社
APAM,Artisan Partners Asset Management Inc,米国の独立系投資運用会社
APCA,AP Acquisition Corp A,ブランクチェックカンパニー。
APCX,AppTech Payments Corp,コマースエクスペリエンスを制御するクラウドベースのプラットフォームを提供する金融テクノロジー企業。
APD,Air Products &amp; Chemicals,工業用ガスおよび関連処理装置メーカー
APDN,Applied DNA Sciences,北米と欧州で、DNAタグを利用した偽造防止技術を供給するDNAセキュリティーソリューション会社。
APEI,American Public Education,軍事、公共サービス、経営管理などについての高等教育をオンラインで提供する米国の教育サービス会社。
APG,APi Group Corporation,建物や生活環境の安全対策に関するサービスを提供
APH,Amphenol A,コネクターメーカー
APLM,Apollomics Inc A,がん細胞にフォーカスした医薬品を開発するバイオテクノロジー企業
APLS,Apellis Pharmaceuticals Inc,臨床段階のバイオ医薬品会社。
APLT,Applied Therapeutics Inc,米国の主に糖尿病性心筋症や心臓に関わる研究等のバイオ医薬品会社
APM,Aptorum Group Ltd-Class A,香港の製薬会社。
APO,Apollo Global Management,オルタナティブ投資関連会社。
APOG,Apogee Enterprises,付加価値付きのガラス製品・サービスを提供する米国企業。
APP,AppLovin Corp A,アプリビジネスの成長支援プラットフォームを手掛ける会社
APPF,Appfolio A,クラウドベースの不動産管理ソフトウエアを提供するソフトウエア会社。
APPN,Appiancorp,アプリケーションの開発を可能とするサービスを提供するロー・コード・ソフトウェア開発プラットフォームを提供する会社
APPS,Digital Turbine,モバイルコンテンツソリューションを提供する米国の会社。
APRE,Aprea Therapeutics Inc,米国のバイオ医薬品企業
APT,Alpha Pro Tech Ltd,米国を中心に使い捨て防護用アパレル、備蓄品、感染防止用製品の開発、製造、販売に従事している会社
APTO,Aptose Biosciences Inc,カナダのバイオ医薬品企業
APTV,Aptiv PLC,イギリスの自動車部品会社
APVO,Aptevo Therapeutics Inc,がんや血液疾患の治療法を提供するバイオ医薬品企業
APWC,Asia Pacific Wire &amp; Cable Corporation,光ファイバー等の電気通信製品を開発する会社。
APXI,APx Acquisition Corp1,ブランクチェックカンパニー。
APYX,Apyx Medical Corporation,米国の医療機器メーカー
AQB,Aquabounty Technologies,魚の養殖事業をする会社。
AQMS,Aqua Metals Inc,米国の鉛リサイクル会社
AQN,Algonquin Power and Utilities Corp,水力発電、風力発電、太陽熱発電施設等の運営と子会社を通じた天然ガス・電力等の供給をしている会社
AQST,Aquestive Therapeutics Inc,米国の特殊医薬品企業
AR,Antero Resources Corporation,原油と天然ガスの探鉱、開発、生産に従事している石油・ガス会社。
ARAV,Aravive Inc,内分泌系の病気の治療に焦点を当てたバイオ医薬品会社
ARAY,Accuray Incorporated,放射線システムの開発、腫瘍治療ソリューション提供をする医療機器メーカー。
ARBE,Arbe Robotics Ltd,イスラエルのレーダー開発メーカー。
ARBG,Aequi Acquisition Corp,ブランクチェックカンパニー。
ARC,ARC Document Solutions Inc ,様々なドキュメント配布およびグラフィック制作サービスを提供する。製品には、オフサイトサービス、特殊カラー印刷、マネージドプリントサービス（MPS）、アーカイブおよび情報管理（AIM）、ウェブベースのドキュメント管理アプリケーションおよび機器と消耗品の販売が含まれる。
ARCB,ArcBest Corp,自動車輸送や複合一貫輸送業などに出資する多角的持株会社。
ARCH,Arch Resources Inc A,低硫黄質軟炭の採掘・精製・販売会社。
ARCK,Arbor Rapha Capital Bioholdings Corp1,ブランクチェックカンパニー。
ARCO,Arcos Dorados Holdings A,南米のマクドナルドフランチャイズを運営するアルゼンチンの会社
ARCT,Arcturus Therapeutics Holdings Inc,リボ核酸（RNA）医薬品会社。
ARD,Ardagh Group SA,ガラス及び金属製の容器の製造・販売を行っているルクセンブルクの容器メーカー
ARDX,Ardelyx Inc,バイオ医薬品会社
AREB,American Rebel Holdings Inc,金庫を製造する会社。
AREC,American Resources Corporation,炭鉱および石炭処理事業に従事している企業
AREN,The Arena Group Holdings Inc,デジタルデスティネーションサービスを提供する会社。
ARES,Ares Management Corp A,資産管理会社。
ARHS,Arhaus Inc,リビング、ダイニング、ベッドルーム、ホームオフィス用の家具を提供。
ARIS,Aris Water Solution Inc,水の処理とリサイクルのためのフルサイクルソリューションを提供。
ARKO,Arko Corp,米国のコンビニエンスストア運営会社。
ARKR,Ark Restaurants Corp,米国で事業を展開しているレストラン運営会社。
ARL,American Realty Investors Inc,米国の不動産投資会社
ARLO,Arlo Technologies,IT企業。セキュリティーカメラなど各種デバイスを接続するクラウドソリューションを提供する。
ARMK,Aramark,食品・施設管理サービス会社。
ARMP,Armata Pharmaceuticals,疾患予防･治療薬の開発・商品化を手掛けるバイオテクノロジー企業。
AROC,Archrock Inc,天然ガス圧縮の請負サービス会社。
AROW,Arrow Financial Corp,ニューヨーク州に２行の国家特許銀行を所有している米国の銀行持株会社
ARQ,Arq Inc,石炭火力発電、工業用ボイラーとセメント業界の顧客に排出ガスソリューションを提供する持株会社
ARQQ,Arqit Quantum Inc,英国のサイバーセキュリティ対策関連ビジネスをする会社。
ARQT,Arcutis Biotherapeutics Inc,バイオ医薬品企業
ARRY,Array Technologies Inc ,太陽光電池パネルを操作する機器を製造している会社
ARTL,Artelo Biosciences Inc,カンナビノイドの開発を行う製薬会社。
ARTNA,Artesian Resources Corp A,公益事業の顧客向けに、公的・私的防火用水を含む水の配給及び販売をしている会社
ARTW,Arts-Way Manufacturing Co  Inc,農業機械メーカー。農業機械の製造、販売に従事する。
